open,high,low,close,volume,timestamp
494.0,503.989990234375,494.0,501.8800048828125,190468,2024-07-25 13:30:00+00:00
502.5,502.5,492.20001220703125,492.7699890136719,119849,2024-07-25 14:30:00+00:00
492.8399963378906,496.8599853515625,492.8399963378906,496.00689697265625,71268,2024-07-25 15:30:00+00:00
495.9750061035156,495.9750061035156,493.70001220703125,495.7250061035156,44945,2024-07-25 16:30:00+00:00
495.57501220703125,497.0899963378906,492.5450134277344,492.7099914550781,83139,2024-07-25 17:30:00+00:00
492.5299987792969,494.2099914550781,490.70001220703125,493.92999267578125,97003,2024-07-25 18:30:00+00:00
493.8900146484375,494.9599914550781,490.8900146484375,491.82000732421875,207463,2024-07-25 19:30:00+00:00
493.1400146484375,500.989990234375,492.1650085449219,499.42999267578125,128912,2024-07-26 13:30:00+00:00
499.2200012207031,502.1449890136719,497.94000244140625,501.989990234375,139468,2024-07-26 14:30:00+00:00
502.0,502.80499267578125,500.0,500.989990234375,99040,2024-07-26 15:30:00+00:00
500.57269287109375,501.45001220703125,499.1499938964844,499.4800109863281,37989,2024-07-26 16:30:00+00:00
499.2200012207031,499.95001220703125,496.29998779296875,496.7550048828125,48815,2024-07-26 17:30:00+00:00
496.4599914550781,497.0799865722656,494.93499755859375,497.0199890136719,52903,2024-07-26 18:30:00+00:00
496.8599853515625,497.44000244140625,494.79998779296875,495.260009765625,93023,2024-07-26 19:30:00+00:00
495.260009765625,501.42999267578125,494.0459899902344,500.0950012207031,130365,2024-07-29 13:30:00+00:00
499.79998779296875,499.79998779296875,497.1499938964844,498.7699890136719,50114,2024-07-29 14:30:00+00:00
498.5849914550781,501.2099914550781,498.17999267578125,500.57000732421875,58626,2024-07-29 15:30:00+00:00
500.7099914550781,501.57000732421875,499.92010498046875,500.4599914550781,46331,2024-07-29 16:30:00+00:00
500.4599914550781,500.4849853515625,497.25,497.7854919433594,57773,2024-07-29 17:30:00+00:00
496.6400146484375,499.04998779296875,495.989990234375,498.489990234375,86472,2024-07-29 18:30:00+00:00
498.3699951171875,499.95001220703125,497.8900146484375,497.92999267578125,96910,2024-07-29 19:30:00+00:00
499.70001220703125,506.14990234375,499.0050048828125,503.79998779296875,136872,2024-07-30 13:30:00+00:00
503.0,503.6000061035156,501.17498779296875,501.8500061035156,91288,2024-07-30 14:30:00+00:00
501.8500061035156,502.0899963378906,500.0801086425781,502.0899963378906,69382,2024-07-30 15:30:00+00:00
501.94000244140625,503.0,500.3299865722656,500.3800048828125,128166,2024-07-30 16:30:00+00:00
500.5249938964844,503.29998779296875,499.5199890136719,502.45989990234375,98272,2024-07-30 17:30:00+00:00
501.8599853515625,502.19000244140625,500.0,502.0249938964844,114922,2024-07-30 18:30:00+00:00
501.8699951171875,504.45001220703125,501.2300109863281,502.1700134277344,178365,2024-07-30 19:30:00+00:00
507.0400085449219,507.79998779296875,499.3599853515625,503.0799865722656,139032,2024-07-31 13:30:00+00:00
502.4800109863281,505.1600036621094,501.6099853515625,503.849609375,73180,2024-07-31 14:30:00+00:00
503.5,504.25,501.1199951171875,502.04998779296875,60989,2024-07-31 15:30:00+00:00
501.8949890136719,503.5849914550781,501.4601135253906,503.5299987792969,62623,2024-07-31 16:30:00+00:00
503.44000244140625,503.79998779296875,498.739990234375,499.2488098144531,117663,2024-07-31 17:30:00+00:00
499.20001220703125,500.7799987792969,497.75,497.81500244140625,144103,2024-07-31 18:30:00+00:00
497.75,497.81500244140625,495.29998779296875,495.8699951171875,323500,2024-07-31 19:30:00+00:00
495.8500061035156,504.4800109863281,495.8500061035156,503.260009765625,356286,2024-08-01 13:30:00+00:00
503.32501220703125,507.7049865722656,503.2300109863281,506.0150146484375,139777,2024-08-01 14:30:00+00:00
505.9750061035156,507.4800109863281,502.5199890136719,505.1499938964844,134254,2024-08-01 15:30:00+00:00
504.68499755859375,508.79998779296875,503.9599914550781,507.9599914550781,165621,2024-08-01 16:30:00+00:00
507.6300048828125,508.82000732421875,506.1499938964844,508.2699890136719,130318,2024-08-01 17:30:00+00:00
508.2099914550781,510.635009765625,506.95001220703125,507.4599914550781,176477,2024-08-01 18:30:00+00:00
507.69000244140625,508.55999755859375,503.30999755859375,504.8999938964844,385547,2024-08-01 19:30:00+00:00
491.5,508.4100036621094,491.0,498.42498779296875,345698,2024-08-02 13:30:00+00:00
497.8299865722656,498.239990234375,493.0,494.885009765625,146846,2024-08-02 14:30:00+00:00
